HEP_Code,Institution_raw,Year,Cohort,doctorate_by_research,masters_by_research,hdr_completions,hdr_has_suppressed_lt5,Institution_canonical,total_completions
3006,Australian Catholic University,2024,non-aligned,40.0,2.0,42.0,True,Australian Catholic University,7002.0
2252,Avondale University ,2024,non-aligned,6.0,2.0,8.0,True,Avondale University ,255.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,non-aligned,2.0,2.0,4.0,True,Batchelor Institute of Indigenous Tertiary Education,0.0
3003,Bond University ,2024,non-aligned,38.0,6.0,44.0,False,Bond University ,1715.0
2200,Central Queensland University,2024,RUN,50.0,22.0,72.0,False,Central Queensland University,5503.0
3001,Charles Darwin University,2024,non-aligned,51.0,2.0,53.0,True,Charles Darwin University,3023.0
3005,Charles Sturt University,2024,RUN,62.0,2.0,64.0,True,Charles Sturt University,7472.0
2236,Curtin University,2024,ATN,250.0,50.0,300.0,False,Curtin University,11834.0
3030,Deakin University,2024,ATN,348.0,22.0,370.0,False,Deakin University,14311.0
2235,Edith Cowan University,2024,non-aligned,107.0,32.0,139.0,False,Edith Cowan University,7801.0
2154,Federation University Australia,2024,RUN,45.0,6.0,51.0,False,Federation University Australia,3219.0
3029,Flinders University,2024,IRU,157.0,9.0,166.0,False,Flinders University,6951.0
3032,Griffith University,2024,IRU,249.0,44.0,293.0,False,Griffith University,9980.0
1019,James Cook University,2024,IRU,93.0,16.0,109.0,False,James Cook University,5312.0
3020,La Trobe University,2024,IRU,172.0,58.0,230.0,False,La Trobe University,9737.0
3025,Macquarie University,2024,non-aligned,237.0,243.0,480.0,False,Macquarie University,9827.0
3035,Monash University,2024,Go8,845.0,49.0,894.0,False,Monash University,23887.0
1034,Murdoch University,2024,IRU,101.0,45.0,146.0,False,Murdoch University,5275.0
3042,Queensland University of Technology,2024,non-aligned,306.0,99.0,405.0,False,Queensland University of Technology,11488.0
3034,Royal Melbourne Institute of Technology,2024,ATN,377.0,46.0,423.0,False,Royal Melbourne Institute of Technology,18967.0
3038,Southern Cross University,2024,RUN,39.0,11.0,50.0,False,Southern Cross University,4853.0
2177,Swinburne University of Technology,2024,non-aligned,240.0,36.0,276.0,False,Swinburne University of Technology,9410.0
3033,The Australian National University,2024,Go8,396.0,38.0,434.0,False,The Australian National University,7059.0
3010,The University of Adelaide,2024,Go8,273.0,72.0,345.0,False,The University of Adelaide,8038.0
3036,The University of Melbourne,2024,Go8,794.0,81.0,875.0,False,The University of Melbourne,23195.0
3044,The University of Notre Dame Australia,2024,non-aligned,26.0,24.0,50.0,False,The University of Notre Dame Australia,2075.0
3019,The University of Queensland,2024,Go8,710.0,56.0,766.0,False,The University of Queensland,14426.0
3040,The University of Sydney,2024,Go8,698.0,152.0,850.0,False,The University of Sydney,22556.0
1055,The University of Western Australia,2024,Go8,293.0,40.0,333.0,False,The University of Western Australia,6821.0
4449,Torrens University Australia,2024,non-aligned,8.0,10.0,18.0,False,Torrens University Australia,5662.0
2241,University of Canberra,2024,IRU,60.0,2.0,62.0,True,University of Canberra,4557.0
4331,University of Divinity,2024,non-aligned,12.0,2.0,14.0,True,University of Divinity,489.0
3039,University of New England,2024,RUN,72.0,11.0,83.0,False,University of New England,3481.0
3013,University of New South Wales,2024,Go8,649.0,120.0,769.0,False,University of New South Wales,20821.0
3014,University of Newcastle,2024,ATN,220.0,11.0,231.0,False,University of Newcastle,7983.0
3027,University of South Australia,2024,ATN,134.0,30.0,164.0,False,University of South Australia,7763.0
2201,University of Southern Queensland,2024,RUN,114.0,17.0,131.0,False,University of Southern Queensland,4378.0
3045,University of Tasmania,2024,non-aligned,228.0,13.0,241.0,False,University of Tasmania,9898.0
3016,University of Technology Sydney,2024,ATN,339.0,38.0,377.0,False,University of Technology Sydney,12318.0
3043,University of the Sunshine Coast,2024,RUN,56.0,6.0,62.0,False,University of the Sunshine Coast,3457.0
1058,University of Wollongong,2024,non-aligned,226.0,26.0,252.0,False,University of Wollongong,8216.0
3007,Victoria University,2024,non-aligned,75.0,11.0,86.0,False,Victoria University,11241.0
3004,Western Sydney University,2024,IRU,176.0,67.0,243.0,False,Western Sydney University,10936.0
3006,Australian Catholic University,2023,non-aligned,39.0,2.0,41.0,True,Australian Catholic University,7182.0
2252,Avondale University ,2023,non-aligned,2.0,0.0,2.0,True,Avondale University ,221.0
2246,Batchelor Institute of Indigenous Tertiary Education,2023,non-aligned,2.0,0.0,2.0,True,Batchelor Institute of Indigenous Tertiary Education,3.0
3003,Bond University ,2023,non-aligned,19.0,2.0,21.0,True,Bond University ,1754.0
2200,Central Queensland University,2023,RUN,31.0,21.0,52.0,False,Central Queensland University,3918.0
3001,Charles Darwin University,2023,non-aligned,44.0,6.0,50.0,False,Charles Darwin University,2929.0
3005,Charles Sturt University,2023,RUN,58.0,5.0,63.0,False,Charles Sturt University,7331.0
2236,Curtin University,2023,ATN,259.0,38.0,297.0,False,Curtin University,10255.0
3030,Deakin University,2023,ATN,313.0,18.0,331.0,False,Deakin University,13284.0
2235,Edith Cowan University,2023,non-aligned,106.0,34.0,140.0,False,Edith Cowan University,6089.0
2154,Federation University Australia,2023,RUN,38.0,6.0,44.0,False,Federation University Australia,3233.0
3029,Flinders University,2023,IRU,135.0,8.0,143.0,False,Flinders University,5419.0
