Year,Institution_raw,doctorate_by_research,masters_by_research,hdr_completions,hdr_has_suppressed_np,total_completions,source,HEP_Code,Institution_canonical,rbg_total,rbg_rtp,rbg_rsp_like,rbg_total_covid_adj
2015,Charles Sturt University,93.0,11.0,104.0,False,9263.0,legacy_xls_table8,3005,Charles Sturt University,9246530,0.0,3448626.0,9246530.0
2015,Macquarie University,307.0,286.0,593.0,False,9344.0,legacy_xls_table8,3025,Macquarie University,35881820,0.0,13120484.0,35881820.0
2015,Southern Cross University,52.0,7.0,59.0,False,2569.0,legacy_xls_table8,3038,Southern Cross University,8188810,0.0,3299533.0,8188810.0
2015,The University of New England,85.0,12.0,97.0,False,3567.0,legacy_xls_table8,3039,University of New England,15254732,0.0,6163846.0,15254732.0
2015,The University of New South Wales,574.0,109.0,683.0,False,11968.0,legacy_xls_table8,3013,University of New South Wales,162308527,0.0,72401480.0,162308527.0
2015,The University of Newcastle,217.0,28.0,245.0,False,7286.0,legacy_xls_table8,3014,University of Newcastle,41093834,0.0,18915354.0,41093834.0
2015,The University of Wollongong,228.0,44.0,272.0,False,6687.0,legacy_xls_table8,1058,University of Wollongong,34881509,0.0,13837606.0,34881509.0
2015,University of Sydney,625.0,191.0,816.0,False,13653.0,legacy_xls_table8,3040,The University of Sydney,180566039,0.0,83030194.0,180566039.0
2015,University of Technology Sydney,188.0,30.0,218.0,False,9671.0,legacy_xls_table8,3016,University of Technology Sydney,26076110,0.0,10219083.0,26076110.0
2015,Western Sydney University,131.0,,131.0,True,8971.0,legacy_xls_table8,3004,Western Sydney University,17405056,0.0,7023708.0,17405056.0
2015,Deakin University,239.0,,239.0,True,10431.0,legacy_xls_table8,3030,Deakin University,26835057,0.0,10184205.0,26835057.0
2015,Federation University Australia(b),24.0,11.0,35.0,False,3830.0,legacy_xls_table8,2154,Federation University Australia,3840217,0.0,1317397.0,3840217.0
2015,La Trobe University,182.0,23.0,205.0,False,8712.0,legacy_xls_table8,3020,La Trobe University,28423711,0.0,11262157.0,28423711.0
2015,Monash University,735.0,126.0,861.0,False,16967.0,legacy_xls_table8,3035,Monash University,146892243,0.0,69277037.0,146892243.0
2015,RMIT University,242.0,36.0,278.0,False,16432.0,legacy_xls_table8,3034,Royal Melbourne Institute of Technology,31255496,0.0,11321906.0,31255496.0
2015,Swinburne University of Technology,123.0,18.0,141.0,False,6917.0,legacy_xls_table8,2177,Swinburne University of Technology,17768077,0.0,6607516.0,17768077.0
2015,The University of Melbourne,637.0,128.0,765.0,False,18155.0,legacy_xls_table8,3036,The University of Melbourne,186764595,0.0,88801991.0,186764595.0
2015,University of Divinity,2.0,,2.0,True,401.0,legacy_xls_table8,4331,University of Divinity,1595617,0.0,446675.0,1595617.0
