HEP_Code,Year,rbg_total,rbg_rtp,rbg_rsp_like,rbg_total_covid_adj
1019,2001,15050453,0.0,1149317.0,15050453.0
1019,2002,15683715,0.0,1460246.0,15683715.0
1019,2003,16114263,0.0,1633413.0,16114263.0
1019,2004,16683854,0.0,1778804.0,16683854.0
1019,2005,16289393,0.0,1804258.0,16289393.0
1019,2006,16309378,0.0,1853044.0,16309378.0
1019,2007,16176951,0.0,1744663.0,16176951.0
1019,2008,16271433,0.0,1825136.0,16271433.0
1019,2009,16394533,0.0,2277696.0,16394533.0
1019,2010,17849781,0.0,7503782.0,17849781.0
1019,2011,18186042,0.0,7911153.0,18186042.0
1019,2012,19296179,0.0,8565562.0,19296179.0
1019,2013,20172471,0.0,8635699.0,20172471.0
1019,2014,21661835,0.0,9231403.0,21661835.0
1019,2015,22889792,0.0,9849673.0,22889792.0
1019,2016,25086480,0.0,11418948.0,25086480.0
1019,2017,27049729,14167548.0,12882181.0,27049729.0
1019,2018,26876338,14428018.0,12448320.0,26876338.0
1019,2019,26103331,14277427.0,11825904.0,26103331.0
1019,2020,25580615,14143783.0,11436832.0,25580615.0
1019,2021,34361812,13828630.0,20533182.0,24889190.226268798
1019,2022,18513891,11195924.0,7317967.0,18513891.0
1019,2023,17631072,10432319.0,7198753.0,17631072.0
1019,2024,21045757,12198540.0,8847217.0,21045757.0
1019,2025,23534655,13332946.0,10201709.0,23534655.0
1019,2026,22795473,12488371.0,10307102.0,22795473.0
1034,2001,14571197,0.0,1042426.0,14571197.0
1034,2002,15549760,0.0,1508451.0,15549760.0
1034,2003,16257843,0.0,1883529.0,16257843.0
1034,2004,17298663,0.0,2408825.0,17298663.0
1034,2005,18737706,0.0,2852614.0,18737706.0
1034,2006,19670990,0.0,2876607.0,19670990.0
1034,2007,19162836,0.0,2323094.0,19162836.0
1034,2008,18761804,0.0,2311299.0,18761804.0
1034,2009,18596803,0.0,2360849.0,18596803.0
1034,2010,19107777,0.0,7794420.0,19107777.0
1034,2011,19488219,0.0,8175676.0,19488219.0
1034,2012,20494504,0.0,8633148.0,20494504.0
1034,2013,19760683,0.0,7776855.0,19760683.0
1034,2014,19392616,0.0,7701652.0,19392616.0
