HEP Code,Higher Education Provider,Year,State/Territory,Cohort,Doctorate by Research,Masters by Research
3006,Australian Catholic University,2024,OTHER,non-aligned,40,<5
2252,Avondale University ,2024,NSW,non-aligned,6,<5
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,<5,<5
3003,Bond University ,2024,QLD,non-aligned,38,6
2200,Central Queensland University,2024,QLD,RUN,50,22
3001,Charles Darwin University,2024,NT,non-aligned,51,<5
3005,Charles Sturt University,2024,NSW,RUN,62,<5
2236,Curtin University,2024,WA,ATN,250,50
3030,Deakin University,2024,VIC,ATN,348,22
2235,Edith Cowan University,2024,WA,non-aligned,107,32
2154,Federation University Australia,2024,VIC,RUN,45,6
3029,Flinders University,2024,SA,IRU,157,9
3032,Griffith University,2024,QLD,IRU,249,44
1019,James Cook University,2024,QLD,IRU,93,16
3020,La Trobe University,2024,VIC,IRU,172,58
3025,Macquarie University,2024,NSW,non-aligned,237,243
3035,Monash University,2024,VIC,Go8,845,49
1034,Murdoch University,2024,WA,IRU,101,45
3042,Queensland University of Technology,2024,QLD,non-aligned,306,99
3034,Royal Melbourne Institute of Technology,2024,VIC,ATN,377,46
3038,Southern Cross University,2024,NSW,RUN,39,11
2177,Swinburne University of Technology,2024,VIC,non-aligned,240,36
3033,The Australian National University,2024,ACT,Go8,396,38
3010,The University of Adelaide,2024,SA,Go8,273,72
3036,The University of Melbourne,2024,VIC,Go8,794,81
3044,The University of Notre Dame Australia,2024,WA,non-aligned,26,24
3019,The University of Queensland,2024,QLD,Go8,710,56
3040,The University of Sydney,2024,NSW,Go8,698,152
1055,The University of Western Australia,2024,WA,Go8,293,40
4449,Torrens University Australia,2024,SA,non-aligned,8,10
2241,University of Canberra,2024,ACT,IRU,60,<5
4331,University of Divinity,2024,VIC,non-aligned,12,<5
3039,University of New England,2024,NSW,RUN,72,11
3013,University of New South Wales,2024,NSW,Go8,649,120
3014,University of Newcastle,2024,NSW,ATN,220,11
3027,University of South Australia,2024,SA,ATN,134,30
2201,University of Southern Queensland,2024,QLD,RUN,114,17
3045,University of Tasmania,2024,TAS,non-aligned,228,13
3016,University of Technology Sydney,2024,NSW,ATN,339,38
3043,University of the Sunshine Coast,2024,QLD,RUN,56,6
1058,University of Wollongong,2024,NSW,non-aligned,226,26
3007,Victoria University,2024,VIC,non-aligned,75,11
3004,Western Sydney University,2024,NSW,IRU,176,67
3006,Australian Catholic University,2023,OTHER,non-aligned,39,<5
2252,Avondale University ,2023,NSW,non-aligned,<5,0
2246,Batchelor Institute of Indigenous Tertiary Education,2023,NT,non-aligned,<5,0
3003,Bond University ,2023,QLD,non-aligned,19,<5
