HEP Code,Institution,Year,State,Cohort,Category,SubCategory,Amount
3006,Australian Catholic University,2024,OTHER,non-aligned,1,Commonwealth National Health and Medical Research Council,974404.0
3006,Australian Catholic University,2024,OTHER,non-aligned,1,Commonwealth Australian Research Council,3445763.0
3006,Australian Catholic University,2024,OTHER,non-aligned,1,Medical Research Future Fund,70993.0
3006,Australian Catholic University,2024,OTHER,non-aligned,1,Commonwealth Rural R&D,0.0
3006,Australian Catholic University,2024,OTHER,non-aligned,1,Commonwealth other,2433447.0
3006,Australian Catholic University,2024,OTHER,non-aligned,1,State/Territory Government,113432.0
3006,Australian Catholic University,2024,OTHER,non-aligned,1,Other Australian Competitive Grants,104113.0
3006,Australian Catholic University,2024,OTHER,non-aligned,2,Commonwealth (own purpose),231183.0
3006,Australian Catholic University,2024,OTHER,non-aligned,2,Commonwealth (other),12061.0
3006,Australian Catholic University,2024,OTHER,non-aligned,2,State/Territory/Local (own purpose),916372.0
3006,Australian Catholic University,2024,OTHER,non-aligned,2,State/Territory/Local (other),166354.0
3006,Australian Catholic University,2024,OTHER,non-aligned,3,Australian for-profit organisations,138142.0
3006,Australian Catholic University,2024,OTHER,non-aligned,3,Australian not-for profit organisations,2991392.0
3006,Australian Catholic University,2024,OTHER,non-aligned,3,Australian philanthropy,780788.0
3006,Australian Catholic University,2024,OTHER,non-aligned,3,International for-profit organisations,436675.0
3006,Australian Catholic University,2024,OTHER,non-aligned,3,International not-for profit organisations,264308.0
3006,Australian Catholic University,2024,OTHER,non-aligned,3,International philanthropy,211173.0
3006,Australian Catholic University,2024,OTHER,non-aligned,3,International government (own purpose),0.0
3006,Australian Catholic University,2024,OTHER,non-aligned,3,International government (other),172410.0
3006,Australian Catholic University,2024,OTHER,non-aligned,4,CRC Australian Government Funding,0.0
3006,Australian Catholic University,2024,OTHER,non-aligned,4,CRC private industry income,0.0
3006,Australian Catholic University,2024,OTHER,non-aligned,4,CRC other income,0.0
2252,Avondale University,2024,NSW,non-aligned,1,Commonwealth National Health and Medical Research Council,261988.0
2252,Avondale University,2024,NSW,non-aligned,1,Commonwealth Australian Research Council,0.0
2252,Avondale University,2024,NSW,non-aligned,1,Medical Research Future Fund,425168.0
2252,Avondale University,2024,NSW,non-aligned,1,Commonwealth Rural R&D,0.0
2252,Avondale University,2024,NSW,non-aligned,1,Commonwealth other,0.0
2252,Avondale University,2024,NSW,non-aligned,1,State/Territory Government,0.0
2252,Avondale University,2024,NSW,non-aligned,1,Other Australian Competitive Grants,0.0
2252,Avondale University,2024,NSW,non-aligned,2,Commonwealth (own purpose),0.0
2252,Avondale University,2024,NSW,non-aligned,2,Commonwealth (other),28543.0
2252,Avondale University,2024,NSW,non-aligned,2,State/Territory/Local (own purpose),0.0
2252,Avondale University,2024,NSW,non-aligned,2,State/Territory/Local (other),0.0
2252,Avondale University,2024,NSW,non-aligned,3,Australian for-profit organisations,38767.0
2252,Avondale University,2024,NSW,non-aligned,3,Australian not-for profit organisations,298741.0
2252,Avondale University,2024,NSW,non-aligned,3,Australian philanthropy,0.0
2252,Avondale University,2024,NSW,non-aligned,3,International for-profit organisations,0.0
2252,Avondale University,2024,NSW,non-aligned,3,International not-for profit organisations,26822.0
2252,Avondale University,2024,NSW,non-aligned,3,International philanthropy,0.0
2252,Avondale University,2024,NSW,non-aligned,3,International government (own purpose),0.0
2252,Avondale University,2024,NSW,non-aligned,3,International government (other),0.0
2252,Avondale University,2024,NSW,non-aligned,4,CRC Australian Government Funding,0.0
2252,Avondale University,2024,NSW,non-aligned,4,CRC private industry income,0.0
2252,Avondale University,2024,NSW,non-aligned,4,CRC other income,0.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,1,Commonwealth National Health and Medical Research Council,0.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,1,Commonwealth Australian Research Council,77061.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,1,Medical Research Future Fund,0.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,1,Commonwealth Rural R&D,0.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,1,Commonwealth other,218320.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,1,State/Territory Government,0.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,1,Other Australian Competitive Grants,0.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,2,Commonwealth (own purpose),0.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,2,Commonwealth (other),2615339.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,2,State/Territory/Local (own purpose),20000.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,2,State/Territory/Local (other),20000.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,3,Australian for-profit organisations,0.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,3,Australian not-for profit organisations,39600.0
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,3,Australian philanthropy,126000.0
