HEP_Code,Institution,Cohort,Year,hdr_completions,total_completions,rbg_total,rbg_rtp,rbg_rsp,is_go8,Go8_Label,rbg_per_hdr_completion,is_covid_year
3006,Australian Catholic University,non-aligned,2024,42.0,7002.0,4358618,2700110.0,1658508.0,0,Rest of sector,103776.61904761905,0
2252,Avondale University ,non-aligned,2024,8.0,255.0,129209,95094.0,34115.0,0,Rest of sector,16151.125,0
2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2024,4.0,0.0,455430,181933.0,273497.0,0,Rest of sector,113857.5,0
3003,Bond University ,non-aligned,2024,44.0,1715.0,3263146,2244753.0,1018393.0,0,Rest of sector,74162.40909090909,0
2200,Central Queensland University,RUN,2024,72.0,5503.0,7910457,4260945.0,3649512.0,0,Rest of sector,109867.45833333333,0
3001,Charles Darwin University,non-aligned,2024,53.0,3023.0,22706340,10170682.0,12535658.0,0,Rest of sector,428421.5094339623,0
3005,Charles Sturt University,RUN,2024,64.0,7472.0,8080441,4899349.0,3181092.0,0,Rest of sector,126256.890625,0
2236,Curtin University,ATN,2024,300.0,11834.0,54457752,30736270.0,23721482.0,0,Rest of sector,181525.84,0
3030,Deakin University,ATN,2024,370.0,14311.0,52735408,30037103.0,22698305.0,0,Rest of sector,142528.12972972973,0
2235,Edith Cowan University,non-aligned,2024,139.0,7801.0,11104956,7021835.0,4083121.0,0,Rest of sector,79891.76978417266,0
2154,Federation University Australia,RUN,2024,51.0,3219.0,4286482,2971820.0,1314662.0,0,Rest of sector,84048.66666666667,0
3029,Flinders University,IRU,2024,166.0,6951.0,38946131,19713567.0,19232564.0,0,Rest of sector,234615.2469879518,0
3032,Griffith University,IRU,2024,293.0,9980.0,46250775,28270010.0,17980765.0,0,Rest of sector,157852.47440273038,0
1019,James Cook University,IRU,2024,109.0,5312.0,21045757,12198540.0,8847217.0,0,Rest of sector,193080.3394495413,0
3020,La Trobe University,IRU,2024,230.0,9737.0,37585210,21227058.0,16358152.0,0,Rest of sector,163413.95652173914,0
3025,Macquarie University,non-aligned,2024,480.0,9827.0,51526657,32626464.0,18900193.0,0,Rest of sector,107347.20208333334,0
3035,Monash University,Go8,2024,894.0,23887.0,238965635,122798840.0,116166795.0,1,Go8,267299.3680089486,0
1034,Murdoch University,IRU,2024,146.0,5275.0,18840548,11561091.0,7279457.0,0,Rest of sector,129044.8493150685,0
3042,Queensland University of Technology,non-aligned,2024,405.0,11488.0,56855908,33921139.0,22934769.0,0,Rest of sector,140384.95802469135,0
3034,Royal Melbourne Institute of Technology,ATN,2024,423.0,18967.0,48981590,30396426.0,18585164.0,0,Rest of sector,115795.72104018912,0
3038,Southern Cross University,RUN,2024,50.0,4853.0,9071762,4997742.0,4074020.0,0,Rest of sector,181435.24,0
