HEP Code,HEP Name,Year,State,Cohort,Program,Amount
6102,Adelaide University,2026,SA,Go8,RSP,64130915
6102,Adelaide University,2026,SA,Go8,RTP,66199119
3006,Australian Catholic University,2026,OTHER,non-aligned,RSP,2614352
3006,Australian Catholic University,2026,OTHER,non-aligned,RTP,3446654
2252,Avondale University ,2026,NSW,non-aligned,RSP,150478
2252,Avondale University ,2026,NSW,non-aligned,RTP,256246
2246,Batchelor Institute of Indigenous Tertiary Education,2026,NT,non-aligned,RSP,689789
2246,Batchelor Institute of Indigenous Tertiary Education,2026,NT,non-aligned,RTP,443100
3003,Bond University ,2026,QLD,non-aligned,RSP,1139827
3003,Bond University ,2026,QLD,non-aligned,RTP,2298883
2200,Central Queensland University,2026,QLD,RUN,RSP,4733157
2200,Central Queensland University,2026,QLD,RUN,RTP,4985143
3001,Charles Darwin University,2026,NT,non-aligned,RSP,12248138
3001,Charles Darwin University,2026,NT,non-aligned,RTP,10023497
3005,Charles Sturt University,2026,NSW,RUN,RSP,4784894
3005,Charles Sturt University,2026,NSW,RUN,RTP,5877054
2236,Curtin University,2026,WA,ATN,RSP,25109253
2236,Curtin University,2026,WA,ATN,RTP,31256282
3030,Deakin University,2026,VIC,ATN,RSP,28555035
3030,Deakin University,2026,VIC,ATN,RTP,34831005
2235,Edith Cowan University,2026,WA,non-aligned,RSP,4864846
2235,Edith Cowan University,2026,WA,non-aligned,RTP,8984594
2154,Federation University Australia,2026,VIC,RUN,RSP,1555871
2154,Federation University Australia,2026,VIC,RUN,RTP,3030881
3029,Flinders University,2026,SA,IRU,RSP,23315905
3029,Flinders University,2026,SA,IRU,RTP,22314022
3032,Griffith University,2026,QLD,IRU,RSP,21217050
3032,Griffith University,2026,QLD,IRU,RTP,30310506
1019,James Cook University,2026,QLD,IRU,RSP,10307102
1019,James Cook University,2026,QLD,IRU,RTP,12488371
3020,La Trobe University,2026,VIC,IRU,RSP,17674337
3020,La Trobe University,2026,VIC,IRU,RTP,21519325
3025,Macquarie University,2026,NSW,non-aligned,RSP,23012638
3025,Macquarie University,2026,NSW,non-aligned,RTP,35393486
3035,Monash University,2026,VIC,Go8,RSP,122318192
3035,Monash University,2026,VIC,Go8,RTP,129570919
1034,Murdoch University,2026,WA,IRU,RSP,8196137
1034,Murdoch University,2026,WA,IRU,RTP,12451476
3042,Queensland University of Technology,2026,QLD,non-aligned,RSP,23328291
3042,Queensland University of Technology,2026,QLD,non-aligned,RTP,34422945
3034,Royal Melbourne Institute of Technology,2026,VIC,ATN,RSP,17313223
3034,Royal Melbourne Institute of Technology,2026,VIC,ATN,RTP,34068909
3038,Southern Cross University,2026,NSW,RUN,RSP,5209575
3038,Southern Cross University,2026,NSW,RUN,RTP,5377591
2177,Swinburne University of Technology,2026,VIC,non-aligned,RSP,7543350
2177,Swinburne University of Technology,2026,VIC,non-aligned,RTP,18664138
3033,The Australian National University,2026,ACT,Go8,RSP,72597461
3033,The Australian National University,2026,ACT,Go8,RTP,64192557
3036,The University of Melbourne,2026,VIC,Go8,RSP,123798137
3036,The University of Melbourne,2026,VIC,Go8,RTP,122033532
3044,The University of Notre Dame Australia,2026,WA,non-aligned,RSP,1078458
3044,The University of Notre Dame Australia,2026,WA,non-aligned,RTP,1863846
3019,The University of Queensland,2026,QLD,Go8,RSP,98793200
3019,The University of Queensland,2026,QLD,Go8,RTP,105759278
3040,The University of Sydney,2026,NSW,Go8,RSP,103070321
3040,The University of Sydney,2026,NSW,Go8,RTP,109518380
1055,The University of Western Australia,2026,WA,Go8,RSP,45734581
1055,The University of Western Australia,2026,WA,Go8,RTP,48060696
4449,Torrens University Australia,2026,SA,non-aligned,RSP,279001
4449,Torrens University Australia,2026,SA,non-aligned,RTP,400203
2241,University of Canberra,2026,ACT,IRU,RSP,4582969
2241,University of Canberra,2026,ACT,IRU,RTP,5824045
4331,University of Divinity,2026,VIC,non-aligned,RSP,422393
4331,University of Divinity,2026,VIC,non-aligned,RTP,570943
3039,University of New England,2026,NSW,RUN,RSP,9145459
3039,University of New England,2026,NSW,RUN,RTP,9982139
3013,University of New South Wales,2026,NSW,Go8,RSP,110517912
3013,University of New South Wales,2026,NSW,Go8,RTP,110867696
3014,University of Newcastle,2026,NSW,ATN,RSP,25084794
3014,University of Newcastle,2026,NSW,ATN,RTP,26668642
2201,University of Southern Queensland,2026,QLD,RUN,RSP,6402347
2201,University of Southern Queensland,2026,QLD,RUN,RTP,10154710
3045,University of Tasmania,2026,TAS,non-aligned,RSP,25338770
3045,University of Tasmania,2026,TAS,non-aligned,RTP,28782936
3016,University of Technology Sydney,2026,NSW,ATN,RSP,19544441
3016,University of Technology Sydney,2026,NSW,ATN,RTP,30802094
3043,University of the Sunshine Coast,2026,QLD,RUN,RSP,7722557
3043,University of the Sunshine Coast,2026,QLD,RUN,RTP,7850812
1058,University of Wollongong,2026,NSW,non-aligned,RSP,14846399
1058,University of Wollongong,2026,NSW,non-aligned,RTP,23532462
3007,Victoria University,2026,VIC,non-aligned,RSP,3054189
3007,Victoria University,2026,VIC,non-aligned,RTP,5200433
3004,Western Sydney University,2026,NSW,IRU,RSP,10092312
3004,Western Sydney University,2026,NSW,IRU,RTP,17915905
3006,Australian Catholic University,2025,OTHER,non-aligned,RSP,2217956
3006,Australian Catholic University,2025,OTHER,non-aligned,RTP,3054420
2252,Avondale University ,2025,NSW,non-aligned,RSP,77651
2252,Avondale University ,2025,NSW,non-aligned,RTP,164108
2246,Batchelor Institute of Indigenous Tertiary Education,2025,NT,non-aligned,RSP,524025
2246,Batchelor Institute of Indigenous Tertiary Education,2025,NT,non-aligned,RTP,323773
3003,Bond University ,2025,QLD,non-aligned,RSP,879125
3003,Bond University ,2025,QLD,non-aligned,RTP,1839820
2200,Central Queensland University,2025,QLD,RUN,RSP,4550473
2200,Central Queensland University,2025,QLD,RUN,RTP,4773010
3001,Charles Darwin University,2025,NT,non-aligned,RSP,12855701
3001,Charles Darwin University,2025,NT,non-aligned,RTP,10392998
3005,Charles Sturt University,2025,NSW,RUN,RSP,4286701
3005,Charles Sturt University,2025,NSW,RUN,RTP,5538247
2236,Curtin University,2025,WA,ATN,RSP,24717773
2236,Curtin University,2025,WA,ATN,RTP,31000387
3030,Deakin University,2025,VIC,ATN,RSP,26791377
3030,Deakin University,2025,VIC,ATN,RTP,32814481
2235,Edith Cowan University,2025,WA,non-aligned,RSP,4332395
2235,Edith Cowan University,2025,WA,non-aligned,RTP,8413791
2154,Federation University Australia,2025,VIC,RUN,RSP,1312796
2154,Federation University Australia,2025,VIC,RUN,RTP,2795801
3029,Flinders University,2025,SA,IRU,RSP,22529125
3029,Flinders University,2025,SA,IRU,RTP,21291217
3032,Griffith University,2025,QLD,IRU,RSP,19490224
3032,Griffith University,2025,QLD,IRU,RTP,29973475
1019,James Cook University,2025,QLD,IRU,RSP,10201709
1019,James Cook University,2025,QLD,IRU,RTP,13332946
3020,La Trobe University,2025,VIC,IRU,RSP,16667877
3020,La Trobe University,2025,VIC,IRU,RTP,22110470
3025,Macquarie University,2025,NSW,non-aligned,RSP,20628511
3025,Macquarie University,2025,NSW,non-aligned,RTP,33475332
3035,Monash University,2025,VIC,Go8,RSP,126109023
3035,Monash University,2025,VIC,Go8,RTP,135257526
1034,Murdoch University,2025,WA,IRU,RSP,8192152
1034,Murdoch University,2025,WA,IRU,RTP,12683975
3042,Queensland University of Technology,2025,QLD,non-aligned,RSP,22714866
3042,Queensland University of Technology,2025,QLD,non-aligned,RTP,33086088
3034,Royal Melbourne Institute of Technology,2025,VIC,ATN,RSP,18558554
3034,Royal Melbourne Institute of Technology,2025,VIC,ATN,RTP,32798728
3038,Southern Cross University,2025,NSW,RUN,RSP,4986088
3038,Southern Cross University,2025,NSW,RUN,RTP,5075362
2177,Swinburne University of Technology,2025,VIC,non-aligned,RSP,8840481
2177,Swinburne University of Technology,2025,VIC,non-aligned,RTP,19246854
3033,The Australian National University,2025,ACT,Go8,RSP,72303211
3033,The Australian National University,2025,ACT,Go8,RTP,62363474
3010,The University of Adelaide,2025,SA,Go8,RSP,46230925
3010,The University of Adelaide,2025,SA,Go8,RTP,51817206
3036,The University of Melbourne,2025,VIC,Go8,RSP,126983898
3036,The University of Melbourne,2025,VIC,Go8,RTP,121170874
3044,The University of Notre Dame Australia,2025,WA,non-aligned,RSP,975242
3044,The University of Notre Dame Australia,2025,WA,non-aligned,RTP,1727823
3019,The University of Queensland,2025,QLD,Go8,RSP,91376822
3019,The University of Queensland,2025,QLD,Go8,RTP,103800648
3040,The University of Sydney,2025,NSW,Go8,RSP,95336697
3040,The University of Sydney,2025,NSW,Go8,RTP,104725797
1055,The University of Western Australia,2025,WA,Go8,RSP,45281049
1055,The University of Western Australia,2025,WA,Go8,RTP,47625285
4449,Torrens University Australia,2025,SA,non-aligned,RSP,297270
4449,Torrens University Australia,2025,SA,non-aligned,RTP,381745
2241,University of Canberra,2025,ACT,IRU,RSP,4177614
2241,University of Canberra,2025,ACT,IRU,RTP,5405457
4331,University of Divinity,2025,VIC,non-aligned,RSP,461026
4331,University of Divinity,2025,VIC,non-aligned,RTP,588054
3039,University of New England,2025,NSW,RUN,RSP,9059916
3039,University of New England,2025,NSW,RUN,RTP,10316412
3013,University of New South Wales,2025,NSW,Go8,RSP,104074021
3013,University of New South Wales,2025,NSW,Go8,RTP,109174410
3014,University of Newcastle,2025,NSW,ATN,RSP,25342886
3014,University of Newcastle,2025,NSW,ATN,RTP,29122866
3027,University of South Australia,2025,SA,ATN,RSP,15888495
3027,University of South Australia,2025,SA,ATN,RTP,17109544
2201,University of Southern Queensland,2025,QLD,RUN,RSP,6502921
2201,University of Southern Queensland,2025,QLD,RUN,RTP,10347440
3045,University of Tasmania,2025,TAS,non-aligned,RSP,24950928
3045,University of Tasmania,2025,TAS,non-aligned,RTP,28627334
3016,University of Technology Sydney,2025,NSW,ATN,RSP,18500818
3016,University of Technology Sydney,2025,NSW,ATN,RTP,29772808
3043,University of the Sunshine Coast,2025,QLD,RUN,RSP,6328710
3043,University of the Sunshine Coast,2025,QLD,RUN,RTP,7120267
1058,University of Wollongong,2025,NSW,non-aligned,RSP,16803605
1058,University of Wollongong,2025,NSW,non-aligned,RTP,25039111
3007,Victoria University,2025,VIC,non-aligned,RSP,4280600
3007,Victoria University,2025,VIC,non-aligned,RTP,5393811
3004,Western Sydney University,2025,NSW,IRU,RSP,9158067
3004,Western Sydney University,2025,NSW,IRU,RTP,16317306
3006,Australian Catholic University,2024,OTHER,non-aligned,RSP,1658508
3006,Australian Catholic University,2024,OTHER,non-aligned,RTP,2700110
2252,Avondale University ,2024,NSW,non-aligned,RSP,34115
2252,Avondale University ,2024,NSW,non-aligned,RTP,95094
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,RSP,273497
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,RTP,181933
3003,Bond University ,2024,QLD,non-aligned,RSP,1018393
3003,Bond University ,2024,QLD,non-aligned,RTP,2244753
2200,Central Queensland University,2024,QLD,RUN,RSP,3649512
2200,Central Queensland University,2024,QLD,RUN,RTP,4260945
3001,Charles Darwin University,2024,NT,non-aligned,RSP,12535658
3001,Charles Darwin University,2024,NT,non-aligned,RTP,10170682
3005,Charles Sturt University,2024,NSW,RUN,RSP,3181092
3005,Charles Sturt University,2024,NSW,RUN,RTP,4899349
2236,Curtin University,2024,WA,ATN,RSP,23721482
2236,Curtin University,2024,WA,ATN,RTP,30736270
3030,Deakin University,2024,VIC,ATN,RSP,22698305
3030,Deakin University,2024,VIC,ATN,RTP,30037103
2235,Edith Cowan University,2024,WA,non-aligned,RSP,4083121
2235,Edith Cowan University,2024,WA,non-aligned,RTP,7021835
2154,Federation University Australia,2024,VIC,RUN,RSP,1314662
2154,Federation University Australia,2024,VIC,RUN,RTP,2971820
3029,Flinders University,2024,SA,IRU,RSP,19232564
3029,Flinders University,2024,SA,IRU,RTP,19713567
3032,Griffith University,2024,QLD,IRU,RSP,17980765
3032,Griffith University,2024,QLD,IRU,RTP,28270010
1019,James Cook University,2024,QLD,IRU,RSP,8847217
1019,James Cook University,2024,QLD,IRU,RTP,12198540
3020,La Trobe University,2024,VIC,IRU,RSP,16358152
3020,La Trobe University,2024,VIC,IRU,RTP,21227058
3025,Macquarie University,2024,NSW,non-aligned,RSP,18900193
3025,Macquarie University,2024,NSW,non-aligned,RTP,32626464
3035,Monash University,2024,VIC,Go8,RSP,116166795
3035,Monash University,2024,VIC,Go8,RTP,122798840
1034,Murdoch University,2024,WA,IRU,RSP,7279457
1034,Murdoch University,2024,WA,IRU,RTP,11561091
3042,Queensland University of Technology,2024,QLD,non-aligned,RSP,22934769
3042,Queensland University of Technology,2024,QLD,non-aligned,RTP,33921139
3034,Royal Melbourne Institute of Technology,2024,VIC,ATN,RSP,18585164
3034,Royal Melbourne Institute of Technology,2024,VIC,ATN,RTP,30396426
3038,Southern Cross University,2024,NSW,RUN,RSP,4074020
3038,Southern Cross University,2024,NSW,RUN,RTP,4997742
2177,Swinburne University of Technology,2024,VIC,non-aligned,RSP,10636873
2177,Swinburne University of Technology,2024,VIC,non-aligned,RTP,19342184
3033,The Australian National University,2024,ACT,Go8,RSP,66784824
3033,The Australian National University,2024,ACT,Go8,RTP,58237230
3010,The University of Adelaide,2024,SA,Go8,RSP,49591732
3010,The University of Adelaide,2024,SA,Go8,RTP,53241854
3036,The University of Melbourne,2024,VIC,Go8,RSP,126305288
3036,The University of Melbourne,2024,VIC,Go8,RTP,117206808
3044,The University of Notre Dame Australia,2024,WA,non-aligned,RSP,727801
3044,The University of Notre Dame Australia,2024,WA,non-aligned,RTP,2116002
3019,The University of Queensland,2024,QLD,Go8,RSP,85072108
3019,The University of Queensland,2024,QLD,Go8,RTP,96646012
3040,The University of Sydney,2024,NSW,Go8,RSP,99478292
3040,The University of Sydney,2024,NSW,Go8,RTP,102046959
1055,The University of Western Australia,2024,WA,Go8,RSP,45249047
1055,The University of Western Australia,2024,WA,Go8,RTP,43932830
4449,Torrens University Australia,2024,SA,non-aligned,RSP,266053
4449,Torrens University Australia,2024,SA,non-aligned,RTP,387107
2241,University of Canberra,2024,ACT,IRU,RSP,3653438
2241,University of Canberra,2024,ACT,IRU,RTP,4673318
4331,University of Divinity,2024,VIC,non-aligned,RSP,497673
4331,University of Divinity,2024,VIC,non-aligned,RTP,673016
3039,University of New England,2024,NSW,RUN,RSP,8303055
3039,University of New England,2024,NSW,RUN,RTP,10271411
3013,University of New South Wales,2024,NSW,Go8,RSP,99379239
3013,University of New South Wales,2024,NSW,Go8,RTP,105060012
3014,University of Newcastle,2024,NSW,ATN,RSP,24136894
3014,University of Newcastle,2024,NSW,ATN,RTP,31145614
3027,University of South Australia,2024,SA,ATN,RSP,16576822
3027,University of South Australia,2024,SA,ATN,RTP,17306833
2201,University of Southern Queensland,2024,QLD,RUN,RSP,5966075
2201,University of Southern Queensland,2024,QLD,RUN,RTP,10225314
3045,University of Tasmania,2024,TAS,non-aligned,RSP,23844600
3045,University of Tasmania,2024,TAS,non-aligned,RTP,27645641
3016,University of Technology Sydney,2024,NSW,ATN,RSP,17059368
3016,University of Technology Sydney,2024,NSW,ATN,RTP,30025624
3043,University of the Sunshine Coast,2024,QLD,RUN,RSP,5426370
3043,University of the Sunshine Coast,2024,QLD,RUN,RTP,6488994
1058,University of Wollongong,2024,NSW,non-aligned,RSP,15067895
1058,University of Wollongong,2024,NSW,non-aligned,RTP,25561863
3007,Victoria University,2024,VIC,non-aligned,RSP,5038730
3007,Victoria University,2024,VIC,non-aligned,RTP,6499964
3004,Western Sydney University,2024,NSW,IRU,RSP,9426042
3004,Western Sydney University,2024,NSW,IRU,RTP,16496385
3006,Australian Catholic University,2023,OTHER,non-aligned,RSP,1480499
3006,Australian Catholic University,2023,OTHER,non-aligned,RTP,2876087
2246,Batchelor Institute of Indigenous Tertiary Education,2023,NT,non-aligned,RSP,174423
2246,Batchelor Institute of Indigenous Tertiary Education,2023,NT,non-aligned,RTP,174602
3003,Bond University ,2023,QLD,non-aligned,RSP,909633
3003,Bond University ,2023,QLD,non-aligned,RTP,1864695
2200,Central Queensland University,2023,QLD,RUN,RSP,3583297
2200,Central Queensland University,2023,QLD,RUN,RTP,3840243
3001,Charles Darwin University,2023,NT,non-aligned,RSP,10695167
3001,Charles Darwin University,2023,NT,non-aligned,RTP,8539898
3005,Charles Sturt University,2023,NSW,RUN,RSP,2504839
3005,Charles Sturt University,2023,NSW,RUN,RTP,4642645
2236,Curtin University,2023,WA,ATN,RSP,21013797
2236,Curtin University,2023,WA,ATN,RTP,29670302
3030,Deakin University,2023,VIC,ATN,RSP,18831850
3030,Deakin University,2023,VIC,ATN,RTP,23997700
2235,Edith Cowan University,2023,WA,non-aligned,RSP,3701315
2235,Edith Cowan University,2023,WA,non-aligned,RTP,6580496
2154,Federation University Australia,2023,VIC,RUN,RSP,1182939
2154,Federation University Australia,2023,VIC,RUN,RTP,2974444
3029,Flinders University,2023,SA,IRU,RSP,13998751
3029,Flinders University,2023,SA,IRU,RTP,16850703
3032,Griffith University,2023,QLD,IRU,RSP,16168941
3032,Griffith University,2023,QLD,IRU,RTP,26006458
1019,James Cook University,2023,QLD,IRU,RSP,7198753
1019,James Cook University,2023,QLD,IRU,RTP,10432319
3020,La Trobe University,2023,VIC,IRU,RSP,15368239
3020,La Trobe University,2023,VIC,IRU,RTP,17964869
3025,Macquarie University,2023,NSW,non-aligned,RSP,17199403
3025,Macquarie University,2023,NSW,non-aligned,RTP,31331018
3035,Monash University,2023,VIC,Go8,RSP,101809297
3035,Monash University,2023,VIC,Go8,RTP,107450028
1034,Murdoch University,2023,WA,IRU,RSP,6382087
1034,Murdoch University,2023,WA,IRU,RTP,9700041
3042,Queensland University of Technology,2023,QLD,non-aligned,RSP,21093117
3042,Queensland University of Technology,2023,QLD,non-aligned,RTP,31692976
3034,Royal Melbourne Institute of Technology,2023,VIC,ATN,RSP,15209851
3034,Royal Melbourne Institute of Technology,2023,VIC,ATN,RTP,27264714
3038,Southern Cross University,2023,NSW,RUN,RSP,3008867
3038,Southern Cross University,2023,NSW,RUN,RTP,4129550
2177,Swinburne University of Technology,2023,VIC,non-aligned,RSP,9410130
2177,Swinburne University of Technology,2023,VIC,non-aligned,RTP,15728868
3033,The Australian National University,2023,ACT,Go8,RSP,59255431
3033,The Australian National University,2023,ACT,Go8,RTP,52476862
3010,The University of Adelaide,2023,SA,Go8,RSP,48163400
3010,The University of Adelaide,2023,SA,Go8,RTP,50193228
3036,The University of Melbourne,2023,VIC,Go8,RSP,119891805
3036,The University of Melbourne,2023,VIC,Go8,RTP,114471132
3044,The University of Notre Dame Australia,2023,WA,non-aligned,RSP,517655
3044,The University of Notre Dame Australia,2023,WA,non-aligned,RTP,2222326
3019,The University of Queensland,2023,QLD,Go8,RSP,85741600
3019,The University of Queensland,2023,QLD,Go8,RTP,94870189
3040,The University of Sydney,2023,NSW,Go8,RSP,96420106
3040,The University of Sydney,2023,NSW,Go8,RTP,95933704
1055,The University of Western Australia,2023,WA,Go8,RSP,42982499
1055,The University of Western Australia,2023,WA,Go8,RTP,42064772
4449,Torrens University Australia,2023,SA,non-aligned,RSP,227902
4449,Torrens University Australia,2023,SA,non-aligned,RTP,208714
2241,University of Canberra,2023,ACT,IRU,RSP,3350252
2241,University of Canberra,2023,ACT,IRU,RTP,4001021
4331,University of Divinity,2023,VIC,non-aligned,RSP,460093
4331,University of Divinity,2023,VIC,non-aligned,RTP,513984
3039,University of New England,2023,NSW,RUN,RSP,7978371
3039,University of New England,2023,NSW,RUN,RTP,9929354
3013,University of New South Wales,2023,NSW,Go8,RSP,98232652
3013,University of New South Wales,2023,NSW,Go8,RTP,97780933
3014,University of Newcastle,2023,NSW,ATN,RSP,24288287
3014,University of Newcastle,2023,NSW,ATN,RTP,30662349
3027,University of South Australia,2023,SA,ATN,RSP,16230114
3027,University of South Australia,2023,SA,ATN,RTP,16956684
2201,University of Southern Queensland,2023,QLD,RUN,RSP,4496694
2201,University of Southern Queensland,2023,QLD,RUN,RTP,8665604
3045,University of Tasmania,2023,TAS,non-aligned,RSP,22793527
3045,University of Tasmania,2023,TAS,non-aligned,RTP,26684857
3016,University of Technology Sydney,2023,NSW,ATN,RSP,15908194
3016,University of Technology Sydney,2023,NSW,ATN,RTP,28541184
3043,University of the Sunshine Coast,2023,QLD,RUN,RSP,4444535
3043,University of the Sunshine Coast,2023,QLD,RUN,RTP,5545472
1058,University of Wollongong,2023,NSW,non-aligned,RSP,13156239
1058,University of Wollongong,2023,NSW,non-aligned,RTP,23545862
3007,Victoria University,2023,VIC,non-aligned,RSP,3734364
3007,Victoria University,2023,VIC,non-aligned,RTP,6635317
3004,Western Sydney University,2023,NSW,IRU,RSP,8348080
3004,Western Sydney University,2023,NSW,IRU,RTP,15943858
3006,Australian Catholic University,2022,OTHER,non-aligned,RSP,1467740
3006,Australian Catholic University,2022,OTHER,non-aligned,RTP,3120749
2246,Batchelor Institute of Indigenous Tertiary Education,2022,NT,non-aligned,RSP,133720
2246,Batchelor Institute of Indigenous Tertiary Education,2022,NT,non-aligned,RTP,209801
3003,Bond University ,2022,QLD,non-aligned,RSP,922642
3003,Bond University ,2022,QLD,non-aligned,RTP,1544813
2200,Central Queensland University,2022,QLD,RUN,RSP,3186615
2200,Central Queensland University,2022,QLD,RUN,RTP,3688488
3001,Charles Darwin University,2022,NT,non-aligned,RSP,10164121
3001,Charles Darwin University,2022,NT,non-aligned,RTP,8041855
3005,Charles Sturt University,2022,NSW,RUN,RSP,2163952
3005,Charles Sturt University,2022,NSW,RUN,RTP,4489624
2236,Curtin University,2022,WA,ATN,RSP,20944933
2236,Curtin University,2022,WA,ATN,RTP,29273950
3030,Deakin University,2022,VIC,ATN,RSP,16293171
3030,Deakin University,2022,VIC,ATN,RTP,20839807
2235,Edith Cowan University,2022,WA,non-aligned,RSP,3458504
2235,Edith Cowan University,2022,WA,non-aligned,RTP,6411545
2154,Federation University Australia,2022,VIC,RUN,RSP,1060821
2154,Federation University Australia,2022,VIC,RUN,RTP,2572241
3029,Flinders University,2022,SA,IRU,RSP,11794585
3029,Flinders University,2022,SA,IRU,RTP,15217026
3032,Griffith University,2022,QLD,IRU,RSP,16316451
3032,Griffith University,2022,QLD,IRU,RTP,25154439
1019,James Cook University,2022,QLD,IRU,RSP,7317967
1019,James Cook University,2022,QLD,IRU,RTP,11195924
3020,La Trobe University,2022,VIC,IRU,RSP,15987398
3020,La Trobe University,2022,VIC,IRU,RTP,18453725
3025,Macquarie University,2022,NSW,non-aligned,RSP,17036142
3025,Macquarie University,2022,NSW,non-aligned,RTP,30316330
3035,Monash University,2022,VIC,Go8,RSP,97239184
3035,Monash University,2022,VIC,Go8,RTP,102424908
1034,Murdoch University,2022,WA,IRU,RSP,7502523
1034,Murdoch University,2022,WA,IRU,RTP,9827392
3042,Queensland University of Technology,2022,QLD,non-aligned,RSP,19316131
3042,Queensland University of Technology,2022,QLD,non-aligned,RTP,29068532
3034,Royal Melbourne Institute of Technology,2022,VIC,ATN,RSP,13354848
3034,Royal Melbourne Institute of Technology,2022,VIC,ATN,RTP,24817631
3038,Southern Cross University,2022,NSW,RUN,RSP,2826644
3038,Southern Cross University,2022,NSW,RUN,RTP,3326464
2177,Swinburne University of Technology,2022,VIC,non-aligned,RSP,8544644
2177,Swinburne University of Technology,2022,VIC,non-aligned,RTP,14242555
3033,The Australian National University,2022,ACT,Go8,RSP,61564969
3033,The Australian National University,2022,ACT,Go8,RTP,53648762
3010,The University of Adelaide,2022,SA,Go8,RSP,40793713
3010,The University of Adelaide,2022,SA,Go8,RTP,46169968
3036,The University of Melbourne,2022,VIC,Go8,RSP,111118253
3036,The University of Melbourne,2022,VIC,Go8,RTP,111813256
3044,The University of Notre Dame Australia,2022,WA,non-aligned,RSP,480706
3044,The University of Notre Dame Australia,2022,WA,non-aligned,RTP,1702450
3019,The University of Queensland,2022,QLD,Go8,RSP,91465589
3019,The University of Queensland,2022,QLD,Go8,RTP,100217285
3040,The University of Sydney,2022,NSW,Go8,RSP,88217569
3040,The University of Sydney,2022,NSW,Go8,RTP,90173615
1055,The University of Western Australia,2022,WA,Go8,RSP,42820477
1055,The University of Western Australia,2022,WA,Go8,RTP,42513528
4449,Torrens University Australia,2022,SA,non-aligned,RSP,209439
4449,Torrens University Australia,2022,SA,non-aligned,RTP,193670
2241,University of Canberra,2022,ACT,IRU,RSP,4076672
2241,University of Canberra,2022,ACT,IRU,RTP,4366091
4331,University of Divinity,2022,VIC,non-aligned,RSP,468926
4331,University of Divinity,2022,VIC,non-aligned,RTP,636254
3039,University of New England,2022,NSW,RUN,RSP,8147829
3039,University of New England,2022,NSW,RUN,RTP,9261262
3013,University of New South Wales,2022,NSW,Go8,RSP,97163618
3013,University of New South Wales,2022,NSW,Go8,RTP,96402360
3014,University of Newcastle,2022,NSW,ATN,RSP,23705205
3014,University of Newcastle,2022,NSW,ATN,RTP,27539140
3027,University of South Australia,2022,SA,ATN,RSP,16033125
3027,University of South Australia,2022,SA,ATN,RTP,15858732
