Year,State,Institution_raw,Institution,Higher Doctorate,Doctorate by Research,Doctorate by Coursework,Master's (Extended),Master's by Research,Master's by Coursework,Other Postgraduate,Bachelor,Associate Degree,Other Undergraduate,TOTAL
2015,New South Wales,Charles Sturt University,Charles Sturt University,< 5,93.0,np,0.0,11.0,2083.0,1376.0,5037.0,560.0,94.0,9263.0
2015,New South Wales,Macquarie University,Macquarie University,0.0,307.0,7.0,0.0,286.0,2976.0,556.0,5179.0,0.0,33.0,9344.0
2015,New South Wales,Southern Cross University,Southern Cross University,0.0,52.0,0.0,0.0,7.0,336.0,296.0,1715.0,93.0,70.0,2569.0
2015,New South Wales,The University of New England,The University of New England,0.0,85.0,0.0,0.0,12.0,799.0,681.0,1834.0,14.0,142.0,3567.0
2015,New South Wales,The University of New South Wales,The University of New South Wales,< 5,574.0,0.0,0.0,109.0,4518.0,405.0,6352.0,0.0,np,11968.0
2015,New South Wales,The University of Newcastle,The University of Newcastle,< 5,217.0,54.0,np,28.0,1904.0,588.0,4469.0,0.0,18.0,7286.0
2015,New South Wales,The University of Wollongong,The University of Wollongong,0.0,228.0,< 5,0.0,44.0,1895.0,257.0,4259.0,0.0,< 5,6687.0
2015,New South Wales,University of Sydney,University of Sydney,6.0,625.0,26.0,0.0,191.0,5510.0,641.0,6620.0,0.0,34.0,13653.0
2015,New South Wales,University of Technology Sydney,University of Technology Sydney,0.0,188.0,0.0,0.0,30.0,3116.0,960.0,5364.0,0.0,13.0,9671.0
2015,New South Wales,Western Sydney University,Western Sydney University,0.0,131.0,0.0,0.0,np,1857.0,279.0,6187.0,< 5,497.0,8971.0
2015,New South Wales,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,< 5,0.0,0.0,np,1460.0,2255.0,4620.0,75.0,5266.0,13684.0
2015,Victoria,Deakin University,Deakin University,0.0,239.0,< 5,0.0,np,2423.0,1193.0,6524.0,18.0,18.0,10431.0
2015,Victoria,Federation University Australia(b),Federation University Australia,0.0,24.0,< 5,0.0,11.0,1277.0,406.0,1990.0,np,113.0,3830.0
2015,Victoria,La Trobe University,La Trobe University,0.0,182.0,6.0,0.0,23.0,1704.0,904.0,5641.0,0.0,252.0,8712.0
2015,Victoria,Monash University,Monash University,0.0,735.0,0.0,0.0,126.0,4485.0,1095.0,10281.0,7.0,238.0,16967.0
2015,Victoria,RMIT University,RMIT University,0.0,242.0,0.0,0.0,36.0,2605.0,670.0,11013.0,930.0,936.0,16432.0
2015,Victoria,Swinburne University of Technology,Swinburne University of Technology,0.0,123.0,0.0,0.0,18.0,1231.0,1080.0,4067.0,46.0,352.0,6917.0
2015,Victoria,The University of Melbourne,The University of Melbourne,0.0,637.0,15.0,0.0,128.0,7393.0,2890.0,6763.0,28.0,301.0,18155.0
2015,Victoria,University of Divinity,University of Divinity,0.0,< 5,0.0,15.0,np,86.0,139.0,np,0.0,77.0,401.0
2015,Victoria,Victoria University,Victoria University,0.0,116.0,< 5,0.0,5.0,761.0,906.0,3474.0,< 5,1512.0,6781.0
2015,Victoria,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,0.0,0.0,< 5,< 5,1074.0,929.0,1303.0,np,3102.0,6490.0
2015,Queensland,Bond University,Bond University,0.0,23.0,0.0,0.0,< 5,565.0,208.0,695.0,np,108.0,1612.0
2015,Queensland,Central Queensland University,Central Queensland University,0.0,30.0,0.0,0.0,12.0,1250.0,761.0,1685.0,89.0,188.0,4015.0
2015,Queensland,Griffith University,Griffith University,< 5,231.0,24.0,142.0,np,1673.0,1477.0,7008.0,0.0,22.0,10591.0
2015,Queensland,James Cook University,James Cook University,0.0,118.0,8.0,22.0,18.0,960.0,367.0,2756.0,0.0,200.0,4449.0
2015,Queensland,Queensland University of Technology,Queensland University of Technology,0.0,322.0,5.0,0.0,102.0,2082.0,2136.0,6677.0,0.0,350.0,11674.0
2015,Queensland,The University of Queensland,The University of Queensland,< 5,665.0,np,0.0,83.0,2605.0,1095.0,7514.0,9.0,86.0,12079.0
2015,Queensland,University of Southern Queensland,University of Southern Queensland,0.0,57.0,np,0.0,< 5,1110.0,1067.0,2027.0,216.0,107.0,4599.0
2015,Queensland,University of the Sunshine Coast,University of the Sunshine Coast,0.0,27.0,0.0,0.0,< 5,239.0,219.0,1481.0,17.0,np,1991.0
2015,Queensland,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,0.0,0.0,0.0,0.0,50.0,81.0,458.0,263.0,1164.0,2016.0
2015,Western Australia,Curtin University of Technology,Curtin University of Technology,0.0,259.0,0.0,0.0,33.0,1932.0,1196.0,7489.0,13.0,0.0,10922.0
2015,Western Australia,Edith Cowan University,Edith Cowan University,0.0,88.0,< 5,0.0,36.0,888.0,1302.0,3166.0,7.0,np,5494.0
2015,Western Australia,Murdoch University,Murdoch University,0.0,89.0,< 5,0.0,np,501.0,722.0,4224.0,0.0,0.0,5560.0
2015,Western Australia,The University of Notre Dame Australia,The University of Notre Dame Australia,0.0,np,0.0,0.0,14.0,171.0,500.0,1826.0,0.0,< 5,2525.0
2015,Western Australia,The University of Western Australia,The University of Western Australia,< 5,318.0,np,112.0,54.0,1025.0,488.0,5307.0,0.0,74.0,7389.0
2015,Western Australia,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,0.0,0.0,0.0,0.0,0.0,np,np,70.0,1013.0,1134.0
2015,South Australia,Flinders University,Flinders University,0.0,131.0,15.0,141.0,15.0,1556.0,873.0,2765.0,< 5,np,5502.0
2015,South Australia,The University of Adelaide,The University of Adelaide,< 5,330.0,< 5,0.0,71.0,1402.0,648.0,4184.0,0.0,87.0,6726.0
2015,South Australia,Torrens University Australia Limited,Torrens University Australia Limited,0.0,0.0,0.0,0.0,0.0,49.0,26.0,8.0,0.0,0.0,83.0
2015,South Australia,University of South Australia,University of South Australia,0.0,185.0,12.0,0.0,18.0,1369.0,847.0,4946.0,30.0,45.0,7452.0
2015,South Australia,Private Universities (Table C) and Non-University Higher Education Institutions,Private Universities (Table C) and Non-University Higher Education Institutions,0.0,< 5,< 5,0.0,0.0,1098.0,846.0,365.0,np,650.0,3008.0
2015,Tasmania,University of Tasmania,University of Tasmania,< 5,166.0,0.0,0.0,np,843.0,1278.0,3211.0,55.0,425.0,5994.0
2015,Tasmania,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,0.0,0.0,0.0,0.0,0.0,< 5,np,0.0,0.0,7.0
2015,Northern Territory,Batchelor Institute of Indigenous Tertiary Education(c),Batchelor Institute of Indigenous Tertiary Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Northern Territory,Charles Darwin University(c),Charles Darwin University,0.0,32.0,< 5,0.0,< 5,183.0,434.0,858.0,np,30.0,1550.0
2015,Australian Capital Territory,The Australian National University,The Australian National University,0.0,368.0,< 5,0.0,36.0,2032.0,1493.0,2089.0,22.0,np,6049.0
2015,Australian Capital Territory,University of Canberra,University of Canberra,0.0,69.0,0.0,23.0,np,853.0,420.0,2436.0,< 5,122.0,3929.0
2015,Australian Capital Territory,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0
2015,Multi-State,Australian Catholic University,Australian Catholic University,0.0,40.0,< 5,0.0,np,900.0,1086.0,3944.0,29.0,114.0,6123.0
2015,Multi-State,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,< 5,< 5,90.0,< 5,35.0,207.0,125.0,10.0,99.0,571.0
2016,New South Wales,Charles Sturt University,Charles Sturt University,0.0,99.0,5.0,0.0,9.0,2545.0,1589.0,4477.0,583.0,86.0,9393.0
2016,New South Wales,Macquarie University,Macquarie University,0.0,284.0,6.0,0.0,254.0,2074.0,450.0,5194.0,0.0,208.0,8470.0
2016,New South Wales,Southern Cross University,Southern Cross University,0.0,60.0,0.0,0.0,6.0,380.0,281.0,1592.0,91.0,61.0,2471.0
2016,New South Wales,The University of New England,The University of New England,0.0,111.0,0.0,0.0,11.0,751.0,537.0,1720.0,6.0,190.0,3326.0
2016,New South Wales,The University of Newcastle,The University of Newcastle,0.0,228.0,25.0,32.0,np,1648.0,636.0,4384.0,< 5,16.0,6985.0
2016,New South Wales,The University of Sydney,The University of Sydney,< 5,679.0,25.0,0.0,194.0,6240.0,595.0,6459.0,0.0,np,14211.0
2016,New South Wales,University of New South Wales,University of New South Wales,< 5,531.0,< 5,0.0,99.0,4715.0,462.0,6482.0,0.0,15.0,12309.0
2016,New South Wales,University of Technology Sydney,University of Technology Sydney,< 5,178.0,0.0,0.0,28.0,3055.0,975.0,5880.0,0.0,np,10126.0
2016,New South Wales,University of Wollongong,University of Wollongong,0.0,235.0,0.0,0.0,40.0,1926.0,304.0,4450.0,0.0,15.0,6970.0
2016,New South Wales,Western Sydney University,Western Sydney University,0.0,130.0,0.0,0.0,np,1591.0,293.0,6587.0,< 5,566.0,9190.0
2016,New South Wales,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,5.0,0.0,0.0,18.0,1576.0,3856.0,4215.0,110.0,4303.0,14083.0
2016,Victoria,Deakin University,Deakin University,0.0,259.0,< 5,0.0,np,2493.0,1183.0,6457.0,23.0,26.0,10458.0
2016,Victoria,Federation University Australia(a),Federation University Australia,0.0,24.0,0.0,0.0,< 5,1133.0,249.0,1632.0,< 5,154.0,3198.0
2016,Victoria,La Trobe University,La Trobe University,0.0,181.0,0.0,0.0,21.0,1851.0,845.0,5747.0,0.0,230.0,8875.0
2016,Victoria,Monash University,Monash University,< 5,716.0,0.0,0.0,np,5003.0,1177.0,10800.0,< 5,231.0,18023.0
2016,Victoria,RMIT University,RMIT University,0.0,246.0,0.0,0.0,34.0,2875.0,653.0,11175.0,972.0,776.0,16731.0
2016,Victoria,Swinburne University of Technology,Swinburne University of Technology,0.0,121.0,0.0,0.0,11.0,1075.0,843.0,4081.0,25.0,512.0,6668.0
2016,Victoria,The University of Melbourne,The University of Melbourne,< 5,755.0,np,0.0,146.0,8013.0,3037.0,6952.0,32.0,329.0,19285.0
2016,Victoria,University of Divinity,University of Divinity,0.0,18.0,0.0,12.0,< 5,92.0,np,58.0,0.0,62.0,446.0
2016,Victoria,Victoria University,Victoria University,0.0,118.0,< 5,0.0,np,1015.0,961.0,4298.0,< 5,984.0,7387.0
2016,Victoria,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,0.0,0.0,0.0,0.0,1239.0,739.0,1316.0,91.0,3528.0,6913.0
2016,Queensland,Bond University,Bond University,0.0,23.0,0.0,45.0,16.0,598.0,240.0,797.0,5.0,122.0,1846.0
2016,Queensland,CQUniversity,CQUniversity,0.0,57.0,0.0,0.0,6.0,1334.0,540.0,1762.0,106.0,84.0,3889.0
2016,Queensland,Griffith University,Griffith University,< 5,333.0,np,146.0,21.0,1625.0,1589.0,7033.0,0.0,50.0,10809.0
2016,Queensland,James Cook University,James Cook University,0.0,134.0,14.0,13.0,10.0,863.0,328.0,2445.0,0.0,293.0,4100.0
2016,Queensland,Queensland University of Technology,Queensland University of Technology,0.0,303.0,np,0.0,128.0,1908.0,2055.0,6720.0,< 5,422.0,11543.0
2016,Queensland,The University of Queensland,The University of Queensland,< 5,731.0,np,0.0,91.0,2451.0,1076.0,7565.0,25.0,88.0,12045.0
2016,Queensland,University of Southern Queensland,University of Southern Queensland,0.0,79.0,< 5,0.0,np,1084.0,922.0,2007.0,189.0,182.0,4472.0
2016,Queensland,University of the Sunshine Coast,University of the Sunshine Coast,0.0,28.0,0.0,0.0,6.0,270.0,152.0,1548.0,17.0,27.0,2048.0
2016,Queensland,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,0.0,0.0,0.0,0.0,39.0,77.0,522.0,180.0,1173.0,1991.0
2016,Western Australia,Curtin University of Technology,Curtin University of Technology,0.0,261.0,< 5,0.0,46.0,1900.0,1325.0,7620.0,< 5,0.0,11157.0
2016,Western Australia,Edith Cowan University,Edith Cowan University,0.0,67.0,0.0,0.0,23.0,914.0,1211.0,3209.0,< 5,< 5,5428.0
2016,Western Australia,Murdoch University,Murdoch University,0.0,110.0,< 5,0.0,np,559.0,543.0,4337.0,0.0,0.0,5565.0
2016,Western Australia,The University of Notre Dame Australia,The University of Notre Dame Australia,0.0,8.0,0.0,0.0,np,170.0,484.0,1925.0,0.0,< 5,2605.0
2016,Western Australia,The University of Western Australia,The University of Western Australia,0.0,349.0,0.0,160.0,48.0,1222.0,546.0,4909.0,0.0,65.0,7299.0
2016,Western Australia,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,0.0,0.0,0.0,0.0,0.0,< 5,44.0,np,908.0,1017.0
2016,South Australia,Flinders University,Flinders University,0.0,172.0,18.0,148.0,13.0,1574.0,1036.0,3096.0,< 5,np,6073.0
2016,South Australia,The University of Adelaide,The University of Adelaide,< 5,333.0,np,41.0,72.0,1332.0,671.0,4412.0,0.0,74.0,6941.0
2016,South Australia,Torrens University Australia Limited,Torrens University Australia Limited,0.0,0.0,0.0,0.0,0.0,279.0,70.0,462.0,76.0,29.0,916.0
2016,South Australia,University of South Australia,University of South Australia,0.0,199.0,< 5,0.0,np,1334.0,802.0,4852.0,55.0,83.0,7339.0
2016,South Australia,Private Universities (Table C) and Non-University Higher Education Institutions,Private Universities (Table C) and Non-University Higher Education Institutions,0.0,np,< 5,0.0,8.0,1545.0,2776.0,375.0,29.0,746.0,5487.0
2016,Tasmania,University of Tasmania,University of Tasmania,0.0,198.0,0.0,0.0,22.0,857.0,1563.0,3677.0,168.0,440.0,6925.0
2016,Tasmania,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,Northern Territory,Batchelor Institute of Indigenous Tertiary Education(b),Batchelor Institute of Indigenous Tertiary Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,Northern Territory,Charles Darwin University(b),Charles Darwin University,0.0,32.0,5.0,0.0,9.0,324.0,260.0,876.0,9.0,48.0,1563.0
2016,Australian Capital Territory,The Australian National University,The Australian National University,0.0,371.0,0.0,0.0,33.0,2006.0,1276.0,2264.0,19.0,52.0,6021.0
2016,Australian Capital Territory,University of Canberra,University of Canberra,0.0,65.0,0.0,14.0,< 5,828.0,456.0,2480.0,< 5,174.0,4022.0
2016,Australian Capital Territory,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0
2016,Multi-State,Australian Catholic University,Australian Catholic University,0.0,57.0,0.0,0.0,np,1090.0,844.0,3936.0,< 5,72.0,6008.0
2016,Multi-State,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,np,< 5,89.0,< 5,22.0,264.0,131.0,17.0,169.0,702.0
2017,New South Wales,Charles Sturt University,Charles Sturt University,0.0,86.0,< 5,0.0,np,2733.0,1571.0,3980.0,474.0,96.0,8949.0
2017,New South Wales,Macquarie University,Macquarie University,0.0,286.0,7.0,0.0,290.0,2259.0,504.0,5354.0,0.0,610.0,9310.0
2017,New South Wales,Southern Cross University,Southern Cross University,0.0,48.0,0.0,0.0,8.0,505.0,307.0,1732.0,116.0,121.0,2837.0
2017,New South Wales,The University of New England,The University of New England,0.0,96.0,0.0,0.0,12.0,799.0,601.0,1874.0,9.0,248.0,3639.0
2017,New South Wales,The University of Newcastle,The University of Newcastle,< 5,230.0,25.0,46.0,18.0,1689.0,567.0,4577.0,< 5,36.0,7193.0
2017,New South Wales,The University of Sydney,The University of Sydney,5.0,701.0,37.0,0.0,190.0,7426.0,663.0,6398.0,0.0,33.0,15453.0
2017,New South Wales,University of New South Wales,University of New South Wales,< 5,632.0,0.0,0.0,105.0,5357.0,432.0,6468.0,0.0,np,13010.0
2017,New South Wales,University of Technology Sydney,University of Technology Sydney,< 5,219.0,0.0,0.0,np,3148.0,860.0,6374.0,0.0,np,10652.0
2017,New South Wales,University of Wollongong,University of Wollongong,0.0,241.0,0.0,0.0,39.0,1943.0,288.0,4538.0,0.0,14.0,7063.0
2017,New South Wales,Western Sydney University,Western Sydney University,0.0,133.0,0.0,0.0,92.0,1576.0,319.0,6518.0,0.0,525.0,9163.0
2017,New South Wales,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,< 5,< 5,0.0,< 5,1980.0,4287.0,4295.0,99.0,4250.0,14918.0
2017,Victoria,Deakin University,Deakin University,0.0,214.0,< 5,0.0,9.0,2270.0,983.0,6030.0,np,25.0,9539.0
2017,Victoria,Federation University Australia(a),Federation University Australia,0.0,31.0,5.0,0.0,< 5,899.0,180.0,1999.0,< 5,102.0,3221.0
2017,Victoria,La Trobe University,La Trobe University,0.0,197.0,< 5,0.0,np,1756.0,665.0,5670.0,0.0,221.0,8534.0
2017,Victoria,Monash University,Monash University,< 5,779.0,0.0,0.0,np,5595.0,1317.0,11653.0,< 5,219.0,19662.0
2017,Victoria,RMIT University,RMIT University,0.0,305.0,0.0,0.0,37.0,3057.0,961.0,11642.0,1042.0,755.0,17799.0
2017,Victoria,Swinburne University of Technology,Swinburne University of Technology,0.0,133.0,0.0,0.0,9.0,1249.0,731.0,4223.0,15.0,636.0,6996.0
2017,Victoria,The University of Melbourne,The University of Melbourne,0.0,716.0,11.0,0.0,109.0,8429.0,2841.0,7555.0,15.0,310.0,19986.0
2017,Victoria,University of Divinity,University of Divinity,0.0,10.0,0.0,< 5,< 5,100.0,153.0,67.0,0.0,56.0,392.0
2017,Victoria,Victoria University,Victoria University,0.0,112.0,6.0,0.0,9.0,984.0,871.0,3916.0,0.0,1109.0,7007.0
2017,Victoria,Non-University Higher Education Institutions,Non-University Higher Education Institutions,0.0,0.0,< 5,0.0,0.0,2144.0,753.0,1581.0,np,4116.0,8730.0
2017,Queensland,Bond University,Bond University,0.0,21.0,0.0,135.0,np,616.0,198.0,733.0,< 5,120.0,1835.0
2017,Queensland,CQUniversity,CQUniversity,0.0,47.0,0.0,0.0,8.0,1244.0,586.0,1747.0,110.0,93.0,3835.0
2017,Queensland,Griffith University,Griffith University,< 5,310.0,np,136.0,46.0,1526.0,1688.0,6939.0,0.0,25.0,10682.0
2017,Queensland,James Cook University,James Cook University,0.0,130.0,12.0,< 5,np,994.0,438.0,2713.0,0.0,311.0,4607.0
2017,Queensland,Queensland University of Technology,Queensland University of Technology,0.0,330.0,np,0.0,95.0,1855.0,2105.0,7060.0,< 5,485.0,11942.0
2017,Queensland,The University of Queensland,The University of Queensland,< 5,680.0,11.0,< 5,81.0,2763.0,1151.0,7812.0,11.0,67.0,12580.0
2017,Queensland,University of Southern Queensland,University of Southern Queensland,0.0,72.0,< 5,0.0,np,840.0,861.0,2008.0,158.0,150.0,4096.0
2017,Queensland,University of the Sunshine Coast,University of the Sunshine Coast,0.0,34.0,0.0,0.0,< 5,322.0,234.0,1734.0,np,72.0,2419.0
