Institution_raw,Year,total_official
Avondale University,2015,0
Avondale University,2016,0
Avondale University,2017,0
Avondale University,2018,0
Avondale University,2019,0
Avondale University,2020,0
Avondale University,2021,0
Avondale University,2022,0
Avondale University,2023,224
Avondale University,2024,240
Charles Sturt University,2015,9263
Charles Sturt University,2016,9393
Charles Sturt University,2017,8949
Charles Sturt University,2018,9534
Charles Sturt University,2019,9488
Charles Sturt University,2020,10332
Charles Sturt University,2021,9553
Charles Sturt University,2022,8440
Charles Sturt University,2023,7350
Charles Sturt University,2024,7451
Macquarie University,2015,9344
Macquarie University,2016,8470
Macquarie University,2017,9310
Macquarie University,2018,10066
Macquarie University,2019,9979
Macquarie University,2020,9052
Macquarie University,2021,10080
Macquarie University,2022,9041
Macquarie University,2023,8620
Macquarie University,2024,9812
Southern Cross University,2015,2569
Southern Cross University,2016,2471
Southern Cross University,2017,2837
Southern Cross University,2018,3078
Southern Cross University,2019,3554
Southern Cross University,2020,3050
Southern Cross University,2021,4152
Southern Cross University,2022,4186
Southern Cross University,2023,4193
Southern Cross University,2024,4793
The University of New England,2015,3567
The University of New England,2016,3326
The University of New England,2017,3639
The University of New England,2018,3630
The University of New England,2019,3854
The University of New England,2020,3718
The University of New England,2021,3792
The University of New England,2022,3635
The University of New England,2023,3544
The University of New England,2024,3521
The University of Newcastle,2015,7286
The University of Newcastle,2016,6985
The University of Newcastle,2017,7193
The University of Newcastle,2018,6467
The University of Newcastle,2019,6657
The University of Newcastle,2020,7524
The University of Newcastle,2021,7545
The University of Newcastle,2022,7746
The University of Newcastle,2023,7545
The University of Newcastle,2024,7902
The University of Sydney,2015,13653
The University of Sydney,2016,14211
The University of Sydney,2017,15453
The University of Sydney,2018,16549
The University of Sydney,2019,17766
The University of Sydney,2020,16751
The University of Sydney,2021,22332
The University of Sydney,2022,21132
The University of Sydney,2023,20660
The University of Sydney,2024,22589
University of New South Wales,2015,11968
University of New South Wales,2016,12309
University of New South Wales,2017,13010
University of New South Wales,2018,15244
University of New South Wales,2019,16200
University of New South Wales,2020,15449
University of New South Wales,2021,17339
University of New South Wales,2022,17924
University of New South Wales,2023,18450
University of New South Wales,2024,20857
University of Technology Sydney,2015,9671
University of Technology Sydney,2016,10126
University of Technology Sydney,2017,10652
University of Technology Sydney,2018,11337
University of Technology Sydney,2019,11964
